route_id,trip_id,delay,trip_start
0050,D0167010,67,16740
0050,D01670106,98,27540
0050,D01670109,23,23940
0050,D01670115,97,24840
0050,D016701153,43,85920
0050,D01670124,-63,29280
0050,D01670127,-20,25740
0050,D01670136,55,30120
0050,D01670145,98,26640
0050,D01670148,76,31020
0050,D01670151,-23,27540
0050,D0167016,-34,17940
0050,D01670166,193,31920
0050,D01670169,-10,28440
0050,D01670178,30,32820
0050,D01670181,-66,29340
0050,D01670184,2,33720
0050,D01670187,175,30240
0050,D01670196,36,34620
0050,D01670199,123,31140
0050,D01670202,33,35580
0050,D01670205,259,32040
0050,D01670214,102,36480
0050,D0167022,29,19140
0050,D01670235,8,33000
0050,D01670244,209,37380
0050,D01670247,80,33900
0050,D0167025,316,16320
0050,D01670250,213,38280
0050,D01670256,188,39180
0050,D01670259,40,34800
0050,D01670262,5,40080
0050,D01670265,44,35700
0050,D01670271,45,36600
0050,D01670274,256,40980
0050,D01670277,-10,37500
0050,D0167028,216,20340
0050,D01670280,-55,41880
0050,D01670283,-18,38400
0050,D01670292,-34,42780
0050,D01670295,-7,39300
0050,D01670298,29,43680
0050,D01670301,-25,40200
0050,D0167031,198,17520
0050,D01670310,-31,44580
0050,D01670313,18,41100
0050,D01670316,26,45480
0050,D01670328,-118,46380
0050,D01670331,81,42000
0050,D01670334,108,47280
0050,D01670337,-25,42900
0050,D0167034,110,21240
0050,D01670340,-10,48180
0050,D01670343,95,43800
0050,D01670346,73,49080
0050,D01670349,-18,44700
0050,D01670355,-6,45600
0050,D01670358,-43,49980
0050,D01670361,-21,46500
0050,D01670364,200,50880
0050,D01670367,7,47400
0050,D01670370,-23,51780
0050,D01670373,4,48300
0050,D01670376,36,52680
0050,D01670379,-40,49200
0050,D01670382,59,53580
0050,D01670385,27,50100
0050,D01670388,46,54480
0050,D01670391,29,51000
0050,D01670394,-18,55380
0050,D01670397,-27,51900
0050,D016704,54,15540
0050,D01670400,-17,56280
0050,D01670409,101,52800
0050,D01670418,-36,57180
0050,D01670421,179,53700
0050,D01670424,-39,58080
0050,D01670427,-60,54600
0050,D01670436,11,58980
0050,D01670439,5,55500
0050,D01670448,-35,59880
0050,D01670451,62,56400
0050,D01670454,80,60780
0050,D01670457,-44,57300
0050,D0167046,-7,22140
0050,D01670466,-24,61680
0050,D01670469,26,58200
0050,D01670472,228,62580
0050,D01670475,-39,59100
0050,D01670484,532,63480
0050,D01670487,-36,60000
0050,D0167049,89,18660
0050,D01670490,134,64380
0050,D01670493,164,60900
0050,D01670502,-59,65280
0050,D01670505,110,61800
0050,D01670514,-49,66180
0050,D01670517,116,62700
0050,D0167052,59,23040
0050,D01670520,-25,67080
0050,D01670523,128,63600
0050,D01670532,28,67980
0050,D01670535,196,64500
0050,D01670538,-34,68880
0050,D01670541,-57,65400
