route_id,trip_id,delay,trip_start
0050,D0167010,70,16740
0050,D01670106,170,27540
0050,D01670109,60,23940
0050,D01670112,247,28380
0050,D01670115,82,24840
0050,D01670124,183,29280
0050,D01670127,273,25740
0050,D01670136,85,30120
0050,D01670145,295,26640
0050,D01670148,29,31020
0050,D01670151,54,27540
0050,D0167016,142,17940
0050,D01670166,96,31920
0050,D01670169,-53,28440
0050,D01670178,171,32820
0050,D01670181,-63,29340
0050,D01670184,127,33720
0050,D01670187,84,30240
0050,D01670196,376,34620
0050,D01670199,37,31140
0050,D01670202,9,35580
0050,D01670205,158,32040
0050,D01670214,16,36480
0050,D0167022,214,19140
0050,D01670235,43,33000
0050,D01670244,-46,37380
0050,D01670247,126,33900
0050,D0167025,139,16320
0050,D01670250,-25,38280
0050,D01670256,-47,39180
0050,D01670259,67,34800
0050,D01670262,101,40080
0050,D01670265,136,35700
0050,D01670271,134,36600
0050,D01670274,-6,40980
0050,D01670277,21,37500
0050,D0167028,48,20340
0050,D01670280,160,41880
0050,D01670283,-106,38400
0050,D01670292,-2,42780
0050,D01670295,97,39300
0050,D01670298,128,43680
0050,D01670301,-77,40200
0050,D0167031,83,17520
0050,D01670310,70,44580
0050,D01670313,-10,41100
0050,D01670316,24,45480
0050,D01670328,106,46380
0050,D01670334,-39,47280
0050,D01670337,132,42900
0050,D0167034,54,21240
0050,D01670340,4,48180
0050,D01670343,142,43800
0050,D01670346,-70,49080
0050,D01670349,5,44700
0050,D01670355,-22,45600
0050,D01670358,-35,49980
0050,D01670361,114,46500
0050,D01670364,153,50880
0050,D01670367,183,47400
0050,D01670370,58,51780
0050,D01670373,-62,48300
0050,D01670376,29,52680
0050,D01670379,191,49200
0050,D01670382,-68,53580
0050,D01670385,9,50100
0050,D01670388,134,54480
0050,D01670391,8,51000
0050,D01670394,48,55380
0050,D01670397,-5,51900
0050,D016704,10,15540
0050,D01670400,-35,56280
0050,D01670418,-24,57180
0050,D01670421,-5,53700
0050,D01670424,11,58080
0050,D01670427,19,54600
0050,D01670436,229,58980
0050,D01670439,79,55500
0050,D01670448,-21,59880
0050,D01670451,-32,56400
0050,D01670454,11,60780
0050,D01670457,-84,57300
0050,D0167046,69,22140
0050,D01670466,-80,61680
0050,D01670469,159,58200
0050,D01670472,19,62580
0050,D01670475,166,59100
0050,D01670487,232,60000
0050,D0167049,147,18660
0050,D01670493,131,60900
0050,D01670505,61,61800
0050,D01670517,19,62700
0050,D0167052,367,23040
0050,D0167055,29,19860
0050,D0167064,0,23940
0050,D01670640,70,79020
0050,D01670652,114,80280
0050,D01670664,7,81480
0050,D0167067,183,21060
0050,D01670679,-53,78900
0050,D01670682,34,82680
0050,D01670685,-40,79860
0050,D01670697,191,81060
0050,D0167070,150,24840
0050,D01670703,271,82260
0050,D0167082,35,25740
0050,D0167085,245,22140
0050,D0167094,44,26640
0050,D0167097,140,23040
0050,D016711742,205,85080
0050,D01671838,54,83880
0050,D01671871,189,83580
0050,D01671877,-127,84780
0050,D01671889,61,85980
0075,D0337410,35,27660
0075,D0337411,24,26580
0075,D0337412,-6,28800
0075,D03374145,441,27780
0075,D03374146,245,30000
0075,D03374147,48,28980
0075,D03374148,-62,31200
0075,D03374149,-29,30180
0075,D03374150,-44,32340
0075,D03374189,23,39540
0075,D033742,236,22920
0075,D03374223,323,31380
0075,D03374224,200,33540
0075,D03374225,144,32580
0075,D03374226,116,34740
0075,D03374227,-25,33780
0075,D03374228,244,35940
0075,D03374229,165,34980
