route_id,trip_id,delay,trip_start
0050,D0167610,108,19440
0050,D01676103,27,26820
0050,D01676105,-27,27300
0050,D0167611,207,16260
0050,D0167612,216,20040
0050,D0167614,192,20640
0050,D0167615,156,17460
0050,D0167616,491,21180
0050,D0167618,504,21660
0050,D0167619,167,18480
0050,D016762,70,15540
0050,D0167620,263,22140
0050,D0167622,80,22620
0050,D0167623,41,19380
0050,D0167626,91,23040
0050,D0167628,279,23520
0050,D0167629,-57,20160
0050,D0167632,411,23940
0050,D0167634,-12,24420
0050,D0167636,49,24840
0050,D0167637,320,21300
0050,D016764,-41,16740
0050,D0167640,58,25320
0050,D0167641,-39,21780
0050,D0167642,-44,25740
0050,D0167643,83,22260
0050,D01676454,80,85080
0050,D01676459,-50,83460
0050,D0167646,187,26220
0050,D01676461,62,84660
0050,D016766,40,17760
0050,D01676603,-41,85860
0050,D0167665,260,22740
0050,D0167666,203,26640
0050,D0167669,158,23160
0050,D0167670,272,27120
0050,D0167672,-94,27540
0050,D0167673,174,23640
0050,D0167677,54,24060
0050,D0167679,245,24540
0050,D016768,222,18660
0050,D0167683,58,24960
0050,D0167685,4,25440
0050,D0167687,10,25860
0050,D0167691,81,26340
0078,C953911,-23,13980
0085,D0166110,-3,17040
0085,D0166114,80,15540
0085,D0166115675,156,19680
0085,D0166115683,-9,23700
0085,D0166115692,183,21420
0085,D0166115693,43,24720
0085,D0166115695,13,20940
0085,D0166115698,71,25800
0085,D0166115702,-38,22620
0085,D0166115703,19,26280
0085,D0166115715,-30,22140
0085,D0166115718,20,26760
0085,D0166115728,-29,27240
0085,D0166115730,-218,23160
0085,D0166115740,-18,24180
0085,D0166115760,-184,24720
0085,D0166115765,-61,25200
0085,D0166115770,-112,26220
0085,D0166115780,-99,26700
0085,D0166115795,-47,27240
0085,D0166115838,3,25140
0085,D0166115843,41,24240
0085,D0166116115,-28,23640
0085,D0166119,77,16740
0085,D0166119176,64,85680
0085,D0166119209,66,83940
0085,D0166121531,-110,25680
0085,D0166122147,-3,84480
0085,D0166124,23,17940
0085,D0166129,-99,18540
0085,D0166132,-52,15660
0085,D0166139,-7,19740
0085,D0166142,-35,16860
0085,D0166144,-61,20340
0085,D016615,-15,15840
0085,D016616338,133,20940
0085,D016616340,-79,17280
0085,D016616343,6,21540
0085,D016616348,-111,22140
0085,D016616350,-104,18480
0085,D016616353,3,22620
0085,D016616358,216,23100
0090,D04681103,37,27480
0090,D04681118,-30,27900
0090,D0468112,-27,18600
0090,D0468115,-11,19200
0090,D0468116,70,16260
0090,D0468118,0,19800
0090,D0468121,126,20400
0090,D0468122,-31,17460
0090,D0468124,3,21000
0090,D0468127,64,21540
0090,D046813,21,16560
0090,D0468130,75,22080
0090,D0468131,100,18600
0090,D0468133,30,22620
0090,D0468136,9,23100
0090,D0468137,51,19800
0090,D0468139,-23,23640
0090,D0468142,-8,24120
0090,D0468143,124,20640
0090,D0468145,-71,24660
0090,D0468146,12,21180
0090,D0468148,66,25140
0090,D0468149,23,21720
0090,D0468151,-112,25680
0090,D0468152,76,22260
0090,D0468154,75,26220
0090,D0468155,33,22800
0090,D0468157,143,26700
0090,D046816,29,17280
0090,D0468161,9,23340
0090,D0468163,8,27240
0090,D0468167,45,23820
0090,D0468169,86,27720
0090,D0468170,-7,24300
0090,D04681750,307,84540
0090,D0468176,-17,24780
0090,D04681760,-93,84120
0090,D0468179,-17,25200
0090,D0468182,61,25680
0090,D046819,32,18000
0090,D0468191,73,26100
0090,D0468194,-45,26580
0090,D0468197,86,27000
0100,D011101,-30,20400
0100,D011102,-1,22200
0100,D011103,15,24000
0100,D011104,26,25800
0100,D011105,65,27600
0100,D011106,13,29400
0110,D0435610,1,17280
0110,D04356104,253,28020
0110,D04356106,-8,26940
0110,D04356107,12,28260
0110,D04356109,103,27240
0110,D0435611,26,19080
0110,D04356110,127,28800
0110,D04356115,127,27780
0110,D04356116,143,29100
0110,D04356121,130,28080
0110,D04356122,203,29640
0110,D04356127,11,28620
0110,D04356128,81,29940
0110,D0435613,59,18480
0110,D04356130,137,28860
0110,D04356131,101,30180
0110,D04356133,11,29100
0110,D04356139,144,29640
0110,D0435614,32,20280
0110,D04356145,-32,29940
0110,D0435616,86,19680
0110,D0435617,45,20880
0110,D043562,-18,15480
0110,D0435620,-2,21480
0110,D043562317,66,85680
0110,D043562320,-16,86880
0110,D0435625,99,20880
0110,D0435626,61,21900
0110,D0435628,-11,21480
0110,D0435629,62,22740
0110,D0435631,59,22080
0110,D0435632,58,23220
0110,D0435634,-2,22680
0110,D0435635,18,23940
0110,D0435640,17,23280
0110,D0435641,145,24420
0110,D043565,-2,16680
0110,D0435665,86,25020
0110,D0435667,62,24120
0110,D0435668,30,25380
0110,D0435670,83,24540
0110,D0435671,105,25860
0110,D0435677,42,26160
0110,D0435679,87,25140
0110,D043568,6,17880
0110,D0435680,54,26400
0110,D0435682,18,25440
0110,D0435683,51,26820
0110,D0435692,54,27120
0110,D0435694,157,26040
0110,D0435695,63,27360
0130,C951251337,-52,16980
0130,C951251340,-23,18780
0130,C951251415,57,20280
0130,C951251418,15,22380
0130,C951252561,138,23400
0130,C951252801,63,27300
0130,C951252804,-85,29400
0131,C951251351,78,17820
0131,C951253,-18,16020
0150,D0451710,83,23400
0150,D0451712,42,24120
0150,D0451715,76,21720
0150,D0451716,596,24840
0150,D0451717,6,22500
0150,D0451718,52,25560
0150,D0451719,267,23280
0150,D045172,279,19080
0150,D0451722,250,26280
0150,D0451725,399,24000
0150,D0451726,13,27000
0150,D0451727,155,24720
0150,D0451728,82,27720
0150,D0451729,176,25440
0150,D0451730,-23,28440
0150,D0451733,-13,26160
0150,D0451735,10,26880
0150,D0451737,75,27600
0150,D0451739,385,28320
0150,D045174,237,20640
0150,D045176,19,21840
0150,D045177,-22,19560
0150,D045178,137,22620
0150,D045179,40,20760
0160,D000331,-123,17040
0160,D0003310,-14,22200
0160,D00033117,-13,15720
0160,D00033118,-73,16320
0160,D00033119,119,16920
0160,D00033120,3,17520
0160,D00033121,-234,18120
0160,D00033122,11,18600
0160,D00033123,28,19200
0160,D00033124,10,19680
0160,D00033125,-32,20160
0160,D00033126,-140,20640
0160,D00033127,-72,21240
0160,D00033128,-2,21840
0160,D00033129,2,22500
0160,D000331774,-68,22800
0160,D000331775,12,23580
0160,D000331776,16,24180
0160,D000332,-53,17640
0160,D000333,67,18240
0160,D000333774,-7,23160
0160,D000333775,28,24780
0160,D000333776,-166,23820
0160,D000333777,26,25320
0160,D000333778,-156,24360
0160,D000333779,-56,25860
0160,D000333780,19,24900
