route_id,trip_id,delay,trip_start
0050,D0167610,179,19440
0050,D01676103,107,26820
0050,D01676104,18,31320
0050,D01676105,-19,27300
0050,D01676106,78,31800
0050,D0167611,176,16260
0050,D01676111,44,27720
0050,D01676112,-30,32280
0050,D01676113,-73,28200
0050,D01676116,138,32760
0050,D01676117,303,28680
0050,D01676118,-20,33240
0050,D01676119,56,29160
0050,D0167612,389,20040
0050,D01676122,53,33720
0050,D01676123,4,29700
0050,D01676124,468,34260
0050,D01676125,8,30180
0050,D01676126,-12,34800
0050,D01676127,321,30720
0050,D01676128,372,35340
0050,D01676133,136,31260
0050,D01676136,-71,35880
0050,D01676137,-92,31740
0050,D0167614,260,20640
0050,D01676140,21,36420
0050,D01676141,150,32280
0050,D01676142,74,37020
0050,D01676143,215,32760
0050,D01676144,253,37620
0050,D01676147,351,33240
0050,D01676148,246,38220
0050,D01676149,-6,33720
0050,D0167615,240,17460
0050,D01676151,63,34260
0050,D01676154,237,38820
0050,D01676155,490,34740
0050,D01676156,-36,39420
0050,D01676157,245,35280
0050,D01676158,-54,40020
0050,D01676159,676,35820
0050,D0167616,395,21180
0050,D01676162,259,40620
0050,D01676171,143,36360
0050,D01676172,24,41220
0050,D01676173,262,36840
0050,D01676176,-29,41820
0050,D01676177,314,37380
0050,D01676178,153,42420
0050,D01676179,251,37920
0050,D0167618,101,21660
0050,D01676182,35,43020
0050,D01676183,131,38520
0050,D01676184,274,43620
0050,D01676187,380,39120
0050,D01676188,-134,44220
0050,D01676189,260,39720
0050,D0167619,179,18480
0050,D01676192,178,44820
0050,D01676193,215,40320
0050,D01676196,-76,45420
0050,D01676197,148,40920
0050,D01676198,46,46020
0050,D01676199,347,41520
0050,D016762,210,15540
0050,D0167620,346,22140
0050,D01676200,242,46620
0050,D01676208,-54,47220
0050,D01676211,560,42120
0050,D01676212,18,47760
0050,D01676213,391,42720
0050,D01676214,-104,48360
0050,D01676217,343,43320
0050,D01676219,406,43920
0050,D0167622,98,22620
0050,D01676220,613,48900
0050,D01676223,591,44460
0050,D01676224,-283,49500
0050,D01676225,296,45060
0050,D01676226,11,50040
0050,D01676227,170,45660
0050,D01676228,-18,50640
0050,D01676229,544,46260
0050,D0167623,138,19380
0050,D01676230,406,51180
0050,D01676231,181,46860
0050,D01676232,413,51780
0050,D01676233,439,47400
0050,D01676234,492,52380
0050,D01676235,192,48000
0050,D01676236,132,52920
0050,D01676237,272,48540
0050,D01676240,78,53460
0050,D01676241,146,49140
0050,D01676242,181,54000
0050,D01676243,-159,49680
0050,D01676244,72,54540
0050,D01676245,402,50280
0050,D01676246,35,55080
0050,D01676247,353,50820
0050,D01676248,205,55620
0050,D01676249,346,51360
0050,D01676250,276,56220
0050,D01676251,243,51960
0050,D01676253,-9,52500
0050,D01676255,75,53040
0050,D01676258,289,57840
0050,D0167626,277,23040
0050,D01676261,192,53580
0050,D01676262,-57,58380
0050,D01676263,147,54120
0050,D01676264,194,58920
0050,D01676265,274,54660
0050,D01676268,128,59520
0050,D01676269,521,55260
0050,D01676270,312,60060
0050,D01676271,160,55800
0050,D01676272,7,60600
0050,D01676273,408,56340
0050,D01676276,213,61140
0050,D01676277,54,56880
0050,D01676278,456,61680
0050,D0167628,-29,23520
0050,D01676283,425,57420
0050,D01676286,-22,62220
0050,D01676287,54,57960
0050,D01676288,40,62820
0050,D0167629,-28,20160
0050,D01676290,44,63360
0050,D01676291,431,58560
0050,D01676292,154,63900
0050,D01676293,79,59100
0050,D01676295,255,59640
0050,D01676296,57,64500
0050,D01676297,252,60180
0050,D01676298,122,65040
0050,D01676299,153,60780
0050,D01676302,193,65580
0050,D01676303,92,61320
0050,D01676304,13,66180
0050,D01676305,-91,61920
0050,D01676306,-45,66720
0050,D01676307,107,62520
0050,D01676310,155,67260
0050,D01676311,107,63180
0050,D01676312,34,67800
0050,D01676315,-10,63780
0050,D01676316,-90,68340
0050,D01676317,240,64380
0050,D01676318,-84,68880
0050,D01676319,252,64920
0050,D0167632,61,23940
0050,D01676322,41,69480
0050,D01676325,190,65520
0050,D01676329,2,66120
0050,D0167633,152,20760
0050,D01676330,-30,70740
0050,D01676337,13,66780
0050,D0167634,429,24420
0050,D01676340,46,71340
0050,D01676341,86,67320
0050,D01676342,-60,71940
0050,D01676343,-29,67920
0050,D01676345,277,68520
0050,D01676346,181,72540
0050,D01676347,94,69120
0050,D01676350,69,73140
0050,D01676353,292,69720
0050,D01676356,26,73740
0050,D01676357,284,70320
0050,D01676358,158,74400
0050,D01676359,-61,70920
0050,D0167636,-43,24840
0050,D01676362,239,75180
0050,D01676365,-9,71520
0050,D01676366,214,76080
0050,D01676367,-52,72240
0050,D0167637,272,21300
0050,D01676371,17,72840
0050,D01676374,192,76980
0050,D01676378,-49,77940
0050,D01676379,11,74040
0050,D01676383,-22,74640
0050,D01676388,88,79080
0050,D01676389,176,75240
0050,D016764,-11,16740
0050,D0167640,140,25320
0050,D0167641,-30,21780
0050,D0167642,10,25740
0050,D0167643,171,22260
0050,D01676434,140,80280
0050,D01676437,245,76140
0050,D01676441,4,77040
0050,D01676444,39,81480
0050,D01676445,142,77940
0050,D01676449,562,78840
0050,D01676452,54,82680
0050,D01676453,-23,79860
0050,D01676454,178,85080
0050,D01676455,-18,81060
0050,D01676457,-6,82260
0050,D01676459,107,83460
0050,D0167646,211,26220
0050,D01676461,-18,84660
0050,D016766,177,17760
0050,D01676602,47,83880
0050,D01676603,122,85860
0050,D0167665,169,22740
0050,D0167666,98,26640
0050,D0167669,-13,23160
0050,D0167670,-98,27120
0050,D0167672,28,27540
0050,D0167673,184,23640
0050,D0167676,48,28020
0050,D0167677,306,24060
0050,D0167678,-62,28500
0050,D0167679,255,24540
0050,D016768,132,18660
0050,D0167682,-4,28980
0050,D0167683,70,24960
0050,D0167684,-120,29400
0050,D0167685,25,25440
0050,D0167686,-4,29880
0050,D0167687,-95,25860
0050,D0167690,-52,30360
0050,D0167691,36,26340
0050,D0167692,-41,30840
0078,C953911,-14,13980
0085,D0166110,24,17040
0085,D0166114,-14,15540
0085,D0166115675,-41,19680
0085,D0166115683,2,23700
0085,D0166115692,200,21420
0085,D0166115693,77,24720
0085,D0166115695,-36,20940
0085,D0166115698,34,25800
0085,D0166115702,-102,22620
0085,D0166115703,37,26280
0085,D0166115715,-88,22140
0085,D0166115718,-20,26760
0085,D0166115725,-19,22620
0085,D0166115728,-13,27240
0085,D0166115730,-194,23160
0085,D0166115733,-68,27840
0085,D0166115740,-114,24180
0085,D0166115743,-6,28860
0085,D0166115760,-114,24720
0085,D0166115763,-54,29340
