route_id,trip_id,delay,trip_start
0050,D01668404,210,76980
0050,D01668410,163,77940
0050,D01668418,35,79080
0050,D01668424,120,80280
0050,D01668426,-58,81480
0050,D01668427,-31,77940
0050,D01668432,-53,82680
0050,D01668435,-18,78840
0050,D01668439,-102,79860
0050,D01668443,63,81060
0050,D01668445,8,82260
0085,D0306052048,0,80340
0085,D0306052156,36,77220
0085,D0306052160,54,81540
0085,D0306052195,-48,82740
0085,D0306052198,55,79680
0085,D0306052209,-107,83940
0085,D0306052226,-63,80880
0085,D0306052240,4,82080
0085,D0306053709,351,79140
0085,D0306055654,165,78060
0090,D03390686,-25,77880
0090,D03390695,-12,78480
0090,D03390710,-14,79080
0090,D03390719,-66,79680
0090,D03390722,-22,80280
0090,D03390725,-18,80880
0090,D03390729,-79,77880
0090,D03390734,-64,81480
0090,D03390735,-83,78480
0090,D03390740,13,82080
0090,D03390741,49,79080
0090,D03390743,5,82680
0090,D03390744,-8,79680
0090,D03390746,6,83340
0090,D03390747,-21,80280
0090,D03390749,66,83940
0090,D03390750,-3,80880
0090,D03390753,-140,81480
0090,D03390756,-3,82080
0090,D03390759,14,82920
0110,D039441020,-18,80280
0110,D039441028,34,79680
0110,D039441502,-15,81540
0110,D039442176,116,82740
0110,D039442178,103,82080
0110,D039442179,6,83940
0110,D039442181,119,83280
0110,D039442182,-45,85140
0110,D039442187,43,84480
0130,C951253845,-6,80940
0130,C951253848,96,82680
0131,C951253863,124,84540
0150,D00745208,337,77940
0150,D00745220,39,79140
0150,D00745223,224,78480
0150,D00745224,50,80940
0150,D00745225,40,79680
0150,D00745229,-22,80880
0160,D000595050,202,79440
0160,D000595070,-23,80040
0160,D000595073,104,79320
0160,D000595074,33,80640
0160,D000595075,-15,79920
0160,D000595076,-14,81240
0160,D000595077,45,80520
0160,D000595078,110,81840
0160,D000595079,-15,81120
0160,D000595080,-15,82440
0160,D000595081,-3,81720
0160,D000595082,52,83040
0160,D000595083,-78,82320
0160,D000595084,-1,83640
0160,D000595085,-64,82920
0160,D000595086,8,84240
0160,D000595089,-16,83520
0160,D000595090,11,84840
0160,D000595091,-45,84120
0160,D000595093,-47,84720
0160,D000595118,-44,85440
0205,D032848942,35,80280
0205,D032848945,-11,79320
0205,D032848954,-24,82680
0205,D032848955,-4,81120
0205,D032848959,8,82980
0210,D0297612696,104,79920
0210,D0297612704,-13,79980
0210,D0297612706,116,81120
0210,D0297612711,-130,81720
0210,D0297612714,-17,81180
0210,D0297612719,-4,81780
0210,D0297612721,178,82920
0210,D0297612734,0,82980
0210,D0297612736,-168,84720
0210,D029768737,-5,83520
0220,C98377143126,-74,79500
0220,C98377143136,-39,79260
0220,C98377143138,-16,81300
0221,C98377143148,-3,81060
0221,C98377143164,63,83460
0221,C98377143168,75,84660
0221,C98377143181,96,79200
0221,C98377143208,95,79860
0221,C98377143212,163,80460
0221,C98377143908,568,78660
0221,C98377143909,-6,82200
0221,C98377143920,-24,82260
0250,C98977314,96,79500
0250,C98977315,105,79320
0250,C98977316,93,80700
0250,C98977319,-78,80520
0250,C98977320,45,81900
0250,C98977323,55,81720
0250,C98977324,8,83100
0250,C98977325,3,82920
0250,C98977326,12,84300
0260,D03273772,-29,80520
0260,D03273777,118,81780
0260,D03273778,-22,82920
0270,C878533751,109,79800
0270,C878533752,43,80520
0270,C878533753,-25,81000
0270,C878533754,45,81720
0270,C878533755,57,82200
0270,C878533756,-5,82920
0270,C878533757,-7,83400
0270,C878533758,67,84120
0270,C878533759,74,84600
0270,C878533760,8,85320
0270,C878533761,-42,85800
0290,D03187359,379,76560
0290,D03187377,677,78360
0290,D03187387,-20,79560
0290,D03187402,93,79980
0290,D03187403,-17,80760
0290,D03187405,59,81960
0290,D03187424,41,81180
0290,D03187426,-26,82380
0290,D03187430,55,83580
0290,D03187431,-5,83160
0290,D03187433,-35,84360
0300,D0330811815,-77,78960
0300,D0330811817,50,82260
0300,D0330811827,113,80880
0300,D0330811835,-54,82080
0300,D0330811843,-16,83280
0300,D0330814960,-9,81060
0300,D0330816788,-78,79860
0301,D0330811819,99,79620
0301,D0330814970,274,78420
0310,D017912100,47,79380
0310,D017912105,-17,79620
0310,D017912106,-32,80580
0310,D017912108,41,80820
0310,D017912109,-11,81780
0310,D017912111,55,82020
0310,D017912112,-2,82860
0310,D017912114,56,83220
0310,D017912115,7,84060
0310,D017912123,0,84420
0310,D017912124,17,85260
0310,D017912129,-45,85620
0320,D03155941,28,79080
0320,D03155943,99,80340
0320,D03155946,227,79500
0320,D03155947,171,81540
0320,D03155956,40,80700
0320,D03155957,53,82740
0320,D03155958,59,81900
0320,D03155959,-3,83940
0320,D03155962,-9,83100
0320,D03155964,75,84300
0330,D011988210,151,78240
0330,D011988211,44,79140
0330,D011988212,-133,80040
0340,D038324709,94,79200
0340,D038325335,47,80400
0340,D038325998,-14,79020
0340,D038326001,-13,81600
0340,D038326008,37,80220
0340,D038326011,-1,82680
0340,D038326018,0,81420
0340,D038326028,7,82620
0340,D038326038,9,83820
0350,D00659673,102,78540
0350,D00659678,-14,79740
0350,D00659681,446,78180
0350,D00659683,53,80940
0350,D00659691,108,79440
0350,D00659693,-63,82140
0350,D00659696,164,80640
0350,D00659698,61,83340
0350,D00659701,355,81840
0350,D00659706,66,83100
0360,D006683203,44,77940
0360,D006683209,475,79140
0360,D006683215,-10,80340
0360,D006683221,168,81540
0360,D006683563,225,79080
0360,D006683565,120,82740
0360,D006683569,176,80340
0360,D006683571,-40,83940
0360,D006683593,231,81540
0360,D006683595,139,84540
0360,D006683689,14,83460
0360,D006684503,28,77880
0380,C9669918655,40,78600
0380,C9669918844,-88,80880
0380,C9669918847,-170,82500
0380,C9669918928,75,84300
0381,C9669918856,-67,82680
0390,D03445695,462,79080
0390,D03445786,215,80340
0390,D03445787,343,80880
0390,D03445789,-9,82140
0390,D03445790,170,82680
0390,D03445795,59,83940
0390,D03445796,1,84420
0400,C9849733892,18,79680
0400,C9849733899,41,80280
0400,C9849733912,-26,79680
0400,C9849733913,-31,81540
0400,C9849733933,-18,80280
0400,C9849733934,-8,82740
0400,C9849733940,-76,81480
0400,C9849733961,-28,82080
0400,C9849733962,-15,83940
0400,C9849734011,-2,83340
0400,C9849735407,55,83280
0400,C9849735408,-6,84540
0400,C9849735477,72,83880
0400,C9849735478,-47,85140
0400,C9849735484,124,84480
0400,C9849735491,-6,85080
0400,C9849735498,-162,85680
0440,D029654615,-32,79860
0440,D029654617,41,80160
0440,D029654618,-17,81000
0440,D029654620,37,81360
0440,D029654621,60,82200
0440,D029654626,60,82560
0440,D029654627,-2,83400
0440,D029654629,67,83760
0440,D029654630,3,84540
0440,D029654632,-53,84960
0450,D030084476,-35,79860
0450,D030084477,155,79560
0450,D030084479,48,81000
0450,D030084480,116,80760
0450,D030084482,-65,82200
0450,D030084486,-9,81960
0450,D030084488,64,83340
0450,D030084489,53,83160
0450,D030084495,129,84360
0460,D029861316,-13,80100
0460,D029861324,37,78780
0460,D029861326,52,81900
0460,D029861334,-12,80640
0460,D029861336,-19,83700
0460,D029861339,4,82800
0460,D029861344,-53,83760
0460,D02986789,-73,78360
0530,C967365012,34,80760
0530,C967365069,-71,80220
0530,C967365072,-12,81960
0530,C967365099,-21,81420
0530,C967365102,-2,83160
0530,C967365109,-18,82620
0530,C967365112,-3,84360
0530,C967365114,-56,83820
0530,C967365119,-5,85020
0540,C98109885,96,78840
0540,C98109895,-9,81240
0540,C98109898,102,79500
0540,C98109903,103,80100
0540,C98109905,-29,82440
0540,C98109908,-63,81900
0540,C98109910,-180,83700
0540,C98109913,-10,83220
0550,D014463956,108,79080
0550,D014463958,-71,80700
0550,D014463959,-188,82800
0550,D014464030,77,84420
0570,C978171151,818,78660
0570,C978171160,-26,79860
0570,C978173903,113,81660
0570,C978173909,-9,82860
0570,C978173912,75,84060
0570,C978173915,3,85260
0580,D028132013,-23,79500
0580,D028132022,108,78660
0580,D028132025,-14,81300
0580,D028132028,-75,80520
0580,D028132034,-60,82320
0580,D028132040,10,84120
0602,C800592,-18,80760
0641,D0312337116,-134,79980
0641,D0312337156,-172,84780
0642,D0312337119,-127,82080
0642,D0312337146,-47,83580
0642,D0312337149,-57,85560
0651,C94040166,-14,81480
0651,C94040169,-69,83880
0660,D02232937,343,78360
0660,D02232964,-49,79440
0660,D02232969,54,80640
0660,D02232972,4,83280
0660,D02232974,-132,81840
0660,D02232977,-131,84480
0660,D02232979,246,83640
0662,D02232941,221,79440
0662,D02232959,-156,78540
0662,D02232961,51,81240
0670,D021221042,-71,79080
0670,D021221045,-25,79980
0670,D021221047,164,80100
0670,D021221048,116,81120
0670,D021221050,48,81300
0670,D021221051,-17,82320
0670,D021221053,118,82500
0670,D021221054,130,83520
0670,D021221056,4,83700
0670,D021221057,-52,84660
0680,C889321280,42,78840
0680,C889321282,346,80040
0680,C889321283,37,79320
0680,C889321284,-3,81240
0680,C889321285,-84,80520
0680,C889321286,-62,82440
0680,C889321287,-19,81720
0680,C889321288,-55,83640
0680,C889321289,-5,82920
0680,C889321291,-113,84120
0710,C9136911779,101,79020
0710,C9136911791,92,80220
0710,C9136911802,151,81240
0710,C9136911803,-6,81420
0710,C9136911814,35,82440
0710,C9136911815,38,82620
0710,C9136912800,6,85440
0710,C9136912801,-47,85620
0870,C959321958,45,80400
0881,C9849733905,-46,79020
0881,C9849733908,-73,81180
0881,C9849733975,-179,82680
0895,D0147091811,-25,79200
0895,D0147091870,-18,81360
0895,D0147091874,-1,82800
0895,D0147091919,7,84960
0910,D0398213384,-15,79860
0910,D0398213397,444,78660
0910,D0398213399,-86,81060
0910,D0398214125,90,79860
0910,D0398214127,-68,82260
0910,D0398214140,106,81060
0910,D0398214142,2,83460
0910,D0398214145,-8,82260
0910,D0398214147,-56,84660
0910,D0398214150,-59,83460
0921,C94294548,-33,79500
0921,C94294550,-14,79380
0921,C94294552,-31,81300
0921,C94294554,-24,81180
0921,C94294556,-11,83100
0921,C94294562,-49,84300
0950,D045151096,-1,82920
0950,D045151099,18,84720
0950,D04515584,452,79560
0950,D04515586,36,79320
0950,D04515587,-28,80640
0950,D04515590,166,81840
0950,D04515598,294,81720
0950,D04515599,358,83040
0975,D02968803,403,78120
0975,D02968813,-13,79320
0975,D02968816,18,78960
0975,D02968818,-22,80520
0975,D02968826,-27,80160
0975,D02968828,-70,81720
0975,D02968831,-3,81360
0975,D02968833,59,82920
0975,D02968836,50,82560
0975,D02968838,-113,84060
0975,D02968841,-46,83760
0975,D02968843,-6,85260
0980,C9890925385,163,78600
0980,C9890925391,104,79800
0980,C9890925394,-23,79020
0980,C9890925397,53,81000
0980,C9890925406,-73,80220
0980,C9890925409,-6,82140
0980,C9890925412,-4,81480
0980,C9890925415,-4,83340
0980,C9890925418,-65,82680
0980,C9890925421,-2,84420
0980,C9890925424,7,83880
0980,C9890925427,15,85560
0990,D025664772,162,78720
0990,D025664796,280,79920
0990,D025664807,-12,80160
0990,D025664813,-29,80760
0990,D025664814,-18,81120
0990,D025664817,102,79500
0990,D025664819,105,81360
0990,D025664829,-14,80100
0990,D025664831,-13,81960
0990,D025664832,-59,82320
0990,D025664835,-6,80700
0990,D025664837,-17,82560
0990,D025664847,56,81900
0990,D025664849,1,83760
0990,D025664853,183,83160
0990,D025664855,122,84960
0990,D025664859,15,84360
0990,D025664861,-59,86160
1005,D024832347,-141,80220
1005,D024832354,-170,79500
1005,D024832360,-17,80400
1005,D024832368,-230,82800
1005,D024832392,243,83220
1005,D024833433,57,81120
1005,D024835883,5,82800
1005,D024836012,-66,81600
1005,D024836017,-74,84120
1005,D024836042,-72,84000
1005,D024836048,-462,85200
1005,D024836140,19,84600
1015,C9898913872,-36,79440
1020,D03212626,-17,80460
1020,D03212628,-25,81660
1020,D03212630,-2,82260
1020,D03212632,3,83460
1020,D03212636,-47,85260
1020,D03212638,-47,85740
1041,D0310613016,160,80100
1041,D0310613024,54,81840
1041,D0310613026,9,83700
1050,D0477614421,-14,78060
1050,D0477614442,-96,78660
1050,D0477614449,-16,79200
1050,D0477614463,-12,79740
1050,D0477614470,-65,80340
1050,D0477614477,-14,80940
1050,D0477614480,465,78120
1050,D0477614487,-22,78720
1050,D0477614491,-4,81540
1050,D0477614494,97,79320
1050,D0477614498,7,82140
1050,D0477614508,43,79920
1050,D0477614512,-46,83340
1050,D0477614515,54,80520
1050,D0477614522,-2,81120
1050,D0477614529,242,81720
1050,D0477614536,187,82320
1050,D0477614543,8,82920
1060,D038325995,106,79260
1060,D038326003,-26,79620
1060,D038326005,-15,80400
1060,D038326013,-23,80820
1060,D038326015,-81,81600
1060,D038326023,-5,82020
1060,D038326025,-2,82800
1060,D038326033,120,83220
1060,D038326035,178,83940
1060,D038326043,4,84420
1060,D038326045,0,85140
1120,D0307021995,-4,81960
1120,D0307021998,-26,81240
1120,D0307022002,-67,83160
1120,D0307022005,-9,82380
1120,D0307022009,13,84360
1120,D0307022012,0,83580
1120,D0307022019,-105,84720
1120,D0307022026,80,85920
1120,D0307028280,36,80760
1120,D0307030219,-16,79560
1120,D0307034763,-40,80040
1140,D0267720293,-98,79800
1140,D0267720707,-25,79080
1140,D0267720922,337,78480
1140,D0267722165,-60,81600
1140,D0267722175,-2,82200
1140,D0267722185,-52,84000
1140,D0267722610,-138,82140
1140,D0267722613,-112,83940
1140,D0267724827,-5,80280
1140,D0267724829,-66,80400
1140,D0267724832,-126,82740
1170,D04530653,-17,80040
1170,D04530657,-135,81240
1180,C98327172,-89,80340
1180,C98327173,-25,81180
1200,C72451686,152,79560
1200,C72451703,220,79620
1200,C72451704,37,80760
1200,C72451707,-12,80820
1200,C72451708,-3,81960
1200,C72451709,-5,82020
1200,C72451710,3,83160
1200,C72451711,107,83220
1200,C72451712,3,84360
1240,D044247526,166,78900
1240,D044247978,-76,80700
1240,D044248225,29,80700
1240,D044248228,-191,82500
1240,D044248649,-85,82800
1250,D044247638,-137,80040
1250,D044247974,45,79800
1250,D044248318,-126,81840
1250,D044248645,-1,81600
1280,D0408916497,27,80100
