route_id,trip_id,delay,trip_start
0050,D01671100,-37,26640
0050,D01671103,284,23460
0050,D01671118,157,27540
0050,D01671121,-20,24660
0050,D01671124,-74,28440
0050,D0167116,43,16740
0050,D0167122,40,17940
0050,D01671268,38,29340
0050,D01671271,12,25800
0050,D0167128,169,19140
0050,D01671280,253,30240
0050,D01671289,77,26700
0050,D01671292,-46,31140
0050,D01671295,-91,27600
0050,D01671304,-30,32040
0050,D01671307,156,28500
0050,D0167131,148,16320
0050,D01671322,213,32940
0050,D01671325,1,29400
0050,D01671328,-75,33840
0050,D01671331,75,30300
0050,D0167134,253,20340
0050,D01671340,241,34740
0050,D01671343,139,31200
0050,D01671346,1,35640
0050,D01671349,148,32100
0050,D01671358,432,36480
0050,D01671361,-23,33000
0050,D0167137,168,17520
0050,D01671370,-37,37380
0050,D01671373,-75,33900
0050,D01671376,40,38280
0050,D01671388,100,39180
0050,D01671391,112,34800
0050,D01671394,242,40080
0050,D01671397,70,35700
0050,D016714,-49,15540
0050,D01671403,-99,36600
0050,D01671406,-246,40980
0050,D01671409,271,37500
0050,D01671418,16,41880
0050,D01671421,-18,38400
0050,D0167143,-59,18660
0050,D01671430,19,42780
0050,D01671433,160,39300
0050,D01671436,18,43680
0050,D01671439,180,40200
0050,D01671448,348,44580
0050,D01671451,191,41100
0050,D01671454,126,45480
0050,D0167146,75,22740
0050,D01671466,7,46380
0050,D01671469,204,42000
0050,D01671472,82,47280
0050,D01671475,-28,42900
0050,D01671478,64,48180
0050,D01671481,-20,43800
0050,D01671484,-43,49080
0050,D01671487,522,44700
0050,D01671493,481,45600
0050,D01671496,117,49980
0050,D01671499,9,46500
0050,D01671502,56,50880
0050,D01671505,25,47400
0050,D01671508,-14,51780
0050,D01671511,88,48300
0050,D01671514,270,52680
0050,D01671517,168,49200
0050,D01671520,153,53580
0050,D01671523,170,50100
0050,D01671529,138,51000
0050,D01671532,69,55380
0050,D01671535,16,51900
0050,D01671538,501,56280
0050,D01671541,30,52800
0050,D0167155,194,19860
0050,D01671550,571,57180
0050,D01671553,44,53700
0050,D01671556,-47,58080
0050,D01671559,537,54600
0050,D01671568,412,58980
0050,D01671571,7,55500
0050,D01671580,-34,59880
0050,D01671583,261,56400
0050,D01671586,313,60780
0050,D01671589,151,57300
0050,D01671598,619,61680
0050,D01671610,119,62580
0050,D01671613,89,58200
0050,D01671616,216,63480
0050,D01671619,346,59100
0050,D01671625,244,60000
0050,D01671628,217,64380
0050,D01671631,244,60900
0050,D0167164,59,23940
0050,D01671640,174,65280
0050,D01671643,262,61800
0050,D01671652,-21,66180
0050,D01671655,269,62700
0050,D01671658,17,67140
0050,D01671661,342,63600
