route_id,trip_id,delay,trip_start
0050,D0166810,195,19440
0050,D01668100,408,35340
0050,D01668101,351,30960
0050,D01668104,169,35880
0050,D01668105,296,31380
0050,D01668106,115,36420
0050,D01668107,614,31800
0050,D0166811,7,16260
0050,D01668112,38,37020
0050,D01668114,319,37620
0050,D01668115,212,33240
0050,D01668117,642,33720
0050,D01668118,-37,38220
0050,D01668119,275,34260
0050,D01668122,266,38820
0050,D01668125,231,34740
0050,D01668128,315,39420
0050,D01668129,214,35280
0050,D01668131,235,35820
0050,D01668136,207,40020
0050,D01668137,1,36360
0050,D0166814,642,20040
0050,D01668140,459,40620
0050,D01668141,153,36840
0050,D01668142,218,41220
0050,D01668155,83,37380
0050,D01668158,176,41820
0050,D0166816,94,20640
0050,D01668161,563,37920
0050,D01668164,4,42420
0050,D01668166,243,42960
0050,D01668167,24,38520
0050,D01668168,43,43500
0050,D01668169,85,39120
0050,D0166817,143,17460
0050,D01668171,502,39720
0050,D01668172,-51,44040
0050,D01668173,530,40320
0050,D01668176,227,44520
0050,D01668178,-16,45060
0050,D01668179,422,40920
0050,D01668180,103,45540
0050,D01668181,230,41520
0050,D01668182,521,46080
0050,D01668185,423,42120
0050,D01668186,58,46620
0050,D01668187,58,42720
0050,D01668194,130,47640
0050,D01668195,208,43320
0050,D01668198,257,48120
0050,D016682,4,15540
0050,D0166820,289,21180
0050,D01668201,225,43920
0050,D01668202,134,48600
0050,D01668203,36,44460
0050,D01668206,18,49080
0050,D01668211,102,45000
0050,D01668212,-39,49560
0050,D01668213,160,45540
0050,D01668214,-51,50040
0050,D01668215,164,46020
0050,D01668216,19,50520
0050,D01668217,171,46560
0050,D01668218,12,51000
0050,D0166822,53,21600
0050,D01668220,154,51480
0050,D01668221,185,47100
0050,D01668222,277,51960
0050,D01668223,198,47640
0050,D01668224,404,52380
0050,D01668225,317,48120
0050,D01668228,350,52860
0050,D01668229,314,48600
0050,D01668232,298,53340
0050,D01668233,325,49080
0050,D01668235,-48,49560
0050,D01668236,299,54300
0050,D01668237,641,50040
0050,D01668238,245,54720
0050,D01668239,518,50520
0050,D0166824,147,22020
0050,D01668242,270,55140
0050,D01668243,700,51000
0050,D01668244,350,55560
0050,D01668248,508,55980
0050,D01668249,221,51480
0050,D0166825,27,18480
0050,D01668250,356,56460
0050,D01668251,153,51960
0050,D01668252,1,56940
0050,D01668254,210,57360
0050,D01668255,468,52440
0050,D01668256,199,57840
0050,D01668261,655,53400
0050,D01668262,443,58260
0050,D01668268,386,58740
0050,D01668272,558,59220
0050,D01668273,418,54360
0050,D01668275,810,54780
0050,D01668276,576,59700
0050,D01668277,586,55260
0050,D01668278,526,60180
0050,D01668279,349,55680
0050,D0166828,478,22440
0050,D01668282,572,60660
0050,D01668285,838,56160
0050,D01668286,467,61080
0050,D01668287,661,56580
0050,D01668290,488,61560
0050,D01668291,118,57060
0050,D01668292,662,61980
0050,D01668298,327,62940
0050,D0166830,238,22860
0050,D01668312,24,64380
0050,D01668318,815,65340
0050,D01668320,832,65820
0050,D0166833,24,19380
0050,D01668331,746,62640
0050,D01668333,205,63060
0050,D01668334,646,67860
0050,D01668337,740,63540
0050,D01668338,-128,68940
0050,D01668339,692,64020
0050,D0166834,6,23280
0050,D01668341,274,64440
0050,D01668343,-28,64860
0050,D01668346,782,69540
0050,D01668347,519,65340
0050,D01668349,345,65820
0050,D01668350,530,70740
0050,D01668351,472,66300
0050,D01668352,671,71340
0050,D01668353,449,66840
0050,D01668358,548,71940
0050,D01668359,49,67920
0050,D01668364,132,72540
0050,D01668366,-60,73140
0050,D01668369,657,69120
0050,D01668373,782,69720
0050,D01668375,656,70320
0050,D01668376,328,74400
0050,D01668377,546,70920
0050,D0166838,11,23640
0050,D01668388,258,75180
0050,D0166839,31,20160
0050,D01668391,733,71520
0050,D01668396,139,76080
0050,D01668399,562,72240
0050,D016684,76,16740
0050,D0166840,490,24000
0050,D01668404,167,76980
0050,D01668409,66,73440
0050,D01668410,62,77940
0050,D01668413,21,74040
0050,D01668415,155,74640
0050,D01668418,75,79080
0050,D01668419,33,75240
0050,D0166842,195,24360
0050,D01668423,221,76140
0050,D01668424,188,80280
0050,D01668425,233,77040
0050,D01668426,89,81480
0050,D01668427,5,77940
0050,D0166843,-28,20760
0050,D01668432,-76,82680
0050,D01668436,47,83880
0050,D01668439,-124,79860
0050,D0166844,305,24720
0050,D01668443,28,81060
0050,D01668444,201,85080
0050,D01668445,-26,82260
0050,D01668447,10,83460
0050,D01668459,75,84660
0050,D0166846,74,25080
0050,D01668461,-157,85860
0050,D0166848,148,25440
0050,D0166849,44,21300
0050,D0166850,426,25800
0050,D0166853,164,21780
0050,D0166854,20,26160
0050,D0166855,118,22200
0050,D0166856,96,26520
0050,D0166857,61,22620
0050,D0166858,92,26880
0050,D0166859,176,23100
0050,D016686,302,17760
0050,D0166860,-95,27360
0050,D0166861,70,23460
0050,D0166863,315,23940
0050,D0166864,288,28320
0050,D0166867,73,24300
0050,D0166868,-27,28800
0050,D0166869,7,24720
0050,D0166870,96,29280
0050,D0166872,100,29760
0050,D0166873,69,25080
0050,D0166875,88,25440
0050,D0166876,105,30240
0050,D0166877,-36,25920
0050,D0166878,-19,30720
0050,D0166879,147,26460
0050,D016688,268,18660
0050,D0166880,303,31200
0050,D0166881,-23,26940
0050,D0166882,-14,31680
0050,D0166883,92,27420
0050,D0166886,189,32160
0050,D0166887,40,27840
0050,D0166888,-13,32640
0050,D0166889,215,28320
0050,D0166890,501,33180
0050,D0166891,228,28800
0050,D0166892,333,33720
0050,D0166893,169,29160
0050,D0166895,232,29640
0050,D0166896,14,34260
0050,D0166897,230,30000
0050,D0166898,322,34800
0050,D0166899,720,30480
0078,C755691,-92,13980
0085,D0306017637,228,20700
0085,D0306017654,14,17280
0085,D0306017657,46,21720
0085,D0306017664,-35,18480
0085,D0306017667,-22,22680
0085,D0306017677,423,23100
0085,D0306017679,-52,19680
0085,D0306017692,246,23640
0085,D0306017696,381,21420
0085,D0306017697,611,24540
0085,D0306017712,70,24900
0085,D0306017714,-78,20940
0085,D0306017717,260,25380
0085,D0306017734,113,21540
0085,D0306017737,20,25800
0085,D0306017739,57,22140
0085,D0306017742,-48,26340
0085,D0306017744,-27,22560
0085,D0306017747,-24,26700
0085,D0306017867,434,24000
0085,D0306018047,31,19680
0085,D0306018137,243,22200
0085,D0306018144,63,22980
0085,D0306018147,200,27240
0085,D0306018149,67,23820
0085,D0306018152,286,28140
0085,D0306018219,744,25020
0085,D0306018224,496,25860
0085,D0306018227,302,30660
0085,D0306018229,621,26340
0085,D0306018232,483,31140
0085,D0306018234,216,26760
0085,D0306018237,357,31620
0085,D0306018239,876,27180
0085,D0306018242,303,32100
0085,D0306018244,829,27660
0085,D0306018247,445,32580
0085,D0306018249,586,28140
0085,D0306018252,386,33180
0085,D0306018254,648,28620
0085,D0306018257,86,33780
0085,D0306018259,287,29160
0085,D0306018262,102,34380
0085,D0306018264,532,29640
0085,D0306018269,237,30120
0085,D0306018272,-32,34980
0085,D0306018274,290,30660
0085,D0306018282,-17,35580
0085,D0306018284,-180,31200
0085,D0306018287,-69,36180
0085,D0306018289,602,31680
0085,D0306018297,12,36780
0085,D0306018299,132,32280
0085,D0306018302,-5,37380
0085,D0306018304,205,32880
0085,D0306018312,126,37980
0085,D0306018444,6,24660
0085,D0306018447,333,29040
0085,D0306018469,267,33480
