route_id,trip_id,delay,trip_start
0050,D01668436,114,83880
0050,D01668444,-38,85080
0050,D01668447,-68,83460
0050,D01668459,179,84660
0050,D01668461,-33,85860
0050,D0166910,51,17760
0050,D01669101,88,28800
0050,D01669102,172,33720
0050,D01669103,-32,29160
0050,D01669105,-323,29640
0050,D01669106,132,34260
0050,D01669107,-18,30000
0050,D01669108,-23,34800
0050,D01669109,110,30480
0050,D01669110,362,35340
0050,D01669111,233,30960
0050,D01669112,472,35880
0050,D01669113,230,31380
0050,D01669115,46,31800
0050,D01669118,372,36420
0050,D0166912,-1,18660
0050,D01669122,230,37020
0050,D01669123,249,32280
0050,D01669124,292,37620
0050,D01669125,14,32760
0050,D01669129,7,33720
0050,D01669130,54,38220
0050,D01669137,120,34260
0050,D0166914,551,19440
0050,D01669140,122,38820
0050,D01669143,43,34740
0050,D01669146,72,39420
0050,D01669147,45,35280
0050,D0166915,406,16260
0050,D01669150,185,40020
0050,D01669153,300,35820
0050,D01669156,139,40620
0050,D01669157,4,36360
0050,D01669160,210,41160
0050,D01669161,162,36840
0050,D01669164,459,41700
0050,D01669165,354,37380
0050,D01669166,479,42240
0050,D01669167,232,37920
0050,D01669170,-1,42780
0050,D01669171,299,38520
0050,D01669174,-5,43320
0050,D01669175,200,39120
0050,D0166918,239,20040
0050,D01669180,193,43860
0050,D01669181,193,39720
0050,D01669184,114,44400
0050,D01669185,28,40320
0050,D01669188,133,44880
0050,D01669189,327,40920
0050,D01669192,-39,45360
0050,D01669194,20,45840
0050,D01669198,379,46320
0050,D0166920,251,20640
0050,D01669201,298,42120
0050,D01669204,151,46800
0050,D01669205,299,42720
0050,D01669206,13,47280
0050,D01669208,245,47700
0050,D01669209,184,43320
0050,D0166921,179,17460
0050,D01669210,242,48180
0050,D01669211,186,43920
0050,D01669214,34,48600
0050,D01669215,300,44520
0050,D01669216,451,49080
0050,D01669218,223,49500
0050,D01669219,17,45120
0050,D01669220,222,49980
0050,D01669221,30,45600
0050,D01669222,111,50400
0050,D01669223,455,46080
0050,D01669228,396,50880
0050,D01669229,155,46560
0050,D01669230,33,51360
0050,D01669231,26,47040
0050,D01669232,-28,51840
0050,D01669233,46,47520
0050,D01669234,224,52260
0050,D01669235,4,48000
0050,D01669236,166,52740
0050,D01669237,624,48480
0050,D01669238,110,53220
0050,D01669239,220,48960
0050,D01669240,91,53700
0050,D01669241,-22,49380
0050,D01669244,353,54120
0050,D01669245,156,49860
0050,D01669246,369,54540
0050,D01669247,347,50280
0050,D01669250,128,55020
0050,D01669251,-14,50700
0050,D01669252,129,55500
0050,D01669253,275,51180
0050,D01669254,107,55980
0050,D0166926,379,21180
0050,D01669260,74,56460
0050,D01669261,-13,52140
0050,D01669264,79,56940
0050,D01669265,164,52560
0050,D01669266,63,57360
0050,D01669267,293,53040
0050,D01669268,69,57840
0050,D01669269,281,53460
0050,D01669270,-49,58320
0050,D01669271,235,53940
0050,D01669274,86,58800
0050,D01669275,44,54360
0050,D01669276,144,59280
0050,D01669277,-68,54840
0050,D01669278,-41,59760
0050,D01669279,-63,55260
0050,D0166928,201,21600
0050,D01669280,276,60240
0050,D01669285,181,55740
0050,D01669288,102,60720
0050,D01669289,-49,56160
0050,D01669292,24,61200
0050,D01669293,200,56640
0050,D01669294,-218,61680
0050,D01669295,-50,57060
0050,D01669298,-10,62160
0050,D01669299,15,57540
0050,D0166930,268,22020
0050,D01669302,535,62640
0050,D01669303,-48,58020
0050,D01669304,-66,63120
0050,D01669305,-33,58500
0050,D01669306,229,63600
0050,D01669307,83,58920
0050,D01669309,-28,59340
0050,D0166931,310,18480
0050,D01669310,-15,64140
0050,D01669311,-26,59820
0050,D01669314,246,64680
0050,D01669315,224,60300
0050,D01669318,495,65220
0050,D01669319,101,60780
0050,D01669322,139,65820
0050,D01669323,-17,61260
0050,D01669325,117,61740
0050,D01669326,6,66420
0050,D01669327,-16,62220
0050,D01669328,147,67020
0050,D01669329,-10,62700
0050,D01669332,92,67620
0050,D01669333,-6,63180
0050,D01669335,242,63660
0050,D01669336,80,68220
0050,D01669337,-1,64140
0050,D0166934,325,22440
0050,D01669340,453,68880
0050,D01669341,-56,64620
0050,D01669344,-29,69480
0050,D01669345,11,65100
0050,D01669346,43,70080
0050,D01669347,197,65580
0050,D01669349,129,66120
0050,D01669350,-77,70740
0050,D01669353,148,66720
0050,D01669356,142,71340
0050,D01669357,269,67320
0050,D01669362,-3,71940
0050,D01669363,32,67920
0050,D01669366,-6,72540
0050,D01669369,-34,68520
0050,D01669372,308,73140
0050,D01669373,-27,69120
0050,D01669376,70,73740
0050,D01669377,220,69720
0050,D0166938,313,22860
0050,D01669380,78,74400
0050,D01669381,-25,70320
0050,D01669383,43,70920
0050,D01669388,26,75180
0050,D01669389,-25,71520
0050,D01669392,210,76080
0050,D01669393,1,72240
0050,D01669394,226,76980
0050,D01669395,237,72840
0050,D01669397,430,73440
0050,D016694,25,15540
0050,D01669400,88,77940
0050,D01669401,22,74040
0050,D01669403,-43,74640
0050,D01669406,110,79080
0050,D01669407,-33,75240
0050,D0166941,125,19380
0050,D01669411,89,76140
0050,D01669412,65,80280
0050,D01669413,150,77040
0050,D01669416,9,81480
0050,D01669419,224,77940
0050,D0166942,463,23280
0050,D01669421,-9,78840
0050,D01669422,145,82680
0050,D01669423,-2,79860
0050,D01669427,-19,81060
0050,D01669429,-62,82260
0050,D0166944,702,23640
0050,D0166945,140,20160
0050,D0166946,764,24000
0050,D0166948,473,24360
0050,D0166955,273,20760
0050,D0166956,233,24720
0050,D0166958,47,25080
0050,D0166959,273,21300
0050,D016696,210,16740
0050,D0166960,167,25440
0050,D0166962,-58,25800
0050,D0166963,256,21780
0050,D0166964,469,26160
0050,D0166967,97,22200
0050,D0166968,189,26520
0050,D0166969,-29,22620
0050,D0166970,140,26880
0050,D0166971,104,23100
0050,D0166972,316,27360
0050,D0166973,395,23460
0050,D0166974,563,27840
0050,D0166975,48,23940
0050,D0166976,313,28320
0050,D0166977,291,24300
0050,D0166979,43,24720
0050,D0166980,255,29280
0050,D0166982,806,29760
0050,D0166983,226,25140
0050,D0166985,4,25560
0050,D0166986,455,30240
0050,D0166987,559,25980
0050,D0166988,136,30720
0050,D0166989,-130,26520
0050,D0166990,-13,31200
0050,D0166991,143,27000
0050,D0166992,460,31680
0050,D0166993,-9,27480
0050,D0166994,43,32160
0050,D0166996,500,32640
0050,D0166997,264,27840
0050,D0166998,473,33180
0050,D0166999,-49,28320
0070,D02517101,132,20760
0070,D02517103,294,24840
0070,D02517111,77,21900
0070,D02517113,-22,26040
0070,D02517116,38,22500
0070,D02517118,125,26640
0070,D02517126,96,23100
0070,D02517128,200,27240
0070,D0251713,64,17760
0070,D02517131,143,23700
0070,D02517133,80,27840
0070,D02517136,52,24300
0070,D02517138,149,28440
0070,D025171550,89,21300
0070,D025171552,55,25440
0070,D02517156,113,25440
0070,D025171565,-95,24900
0070,D025171567,143,29040
0070,D025171575,-84,29580
0070,D02517158,93,29640
0070,D025171580,-213,59940
0070,D025171582,58,64320
0070,D02517166,-106,26100
0070,D02517168,-526,30840
0070,D02517171,14,26520
0070,D02517173,-392,31440
0070,D02517176,137,27180
0070,D02517178,170,32040
0070,D02517181,386,27780
0070,D02517183,489,32640
0070,D02517186,133,28380
0070,D02517193,-41,33180
0070,D02517196,145,28980
0070,D02517198,240,33720
0070,D02517208,191,34260
0070,D02517211,29,30240
0070,D02517213,111,34800
0070,D02517221,140,30840
0070,D02517223,291,35340
0070,D02517226,113,31440
0070,D02517228,175,35940
0070,D02517236,26,32040
0070,D02517243,306,36540
0070,D02517251,54,32640
0070,D02517253,151,37140
0070,D02517261,6,33240
0070,D02517271,127,33840
0070,D02517273,522,38340
