route_id,trip_id,delay,trip_start
0050,D016701153,153,85920
0050,D01670688,-34,83880
0050,D01670700,26,85080
0050,D01670721,187,83520
0050,D01670727,263,84720
0050,D01671100,-55,26640
0050,D01671103,56,23460
0050,D01671118,29,27540
0050,D01671121,59,24660
0050,D01671124,94,28440
0050,D0167116,1,16740
0050,D0167122,66,17940
0050,D01671271,-2,25800
0050,D0167128,70,19140
0050,D01671280,405,30240
0050,D01671289,89,26700
0050,D01671292,6,31140
0050,D01671295,-26,27600
0050,D01671304,-10,32040
0050,D01671307,146,28500
0050,D0167131,119,16320
0050,D01671322,436,32940
0050,D01671325,43,29400
0050,D01671328,137,33840
0050,D01671331,-10,30300
0050,D01671340,255,34740
0050,D01671343,2,31200
0050,D01671346,316,35640
0050,D01671349,-53,32100
0050,D01671358,160,36480
0050,D01671361,12,33000
0050,D0167137,-56,17520
0050,D01671370,150,37380
0050,D01671373,202,33900
0050,D01671376,53,38280
0050,D01671388,-34,39180
0050,D01671391,147,34800
0050,D01671394,495,40080
0050,D01671397,-19,35700
0050,D016714,-19,15540
0050,D0167140,-36,21540
0050,D01671403,-9,36600
0050,D01671406,-41,40980
0050,D01671409,56,37500
0050,D01671418,167,41880
0050,D01671421,5,38400
0050,D0167143,85,18660
0050,D01671430,-27,42780
0050,D01671433,13,39300
0050,D01671436,59,43680
0050,D01671439,37,40200
0050,D01671448,126,44580
0050,D01671451,340,41100
0050,D01671454,253,45480
0050,D0167146,-18,22740
0050,D01671466,64,46380
0050,D01671469,281,42000
0050,D01671472,-30,47280
0050,D01671475,231,42900
0050,D01671478,-83,48180
0050,D01671481,63,43800
0050,D01671484,45,49080
0050,D01671487,245,44700
0050,D01671493,258,45600
0050,D01671496,48,49980
0050,D01671499,-6,46500
0050,D01671502,54,50880
0050,D01671505,27,47400
0050,D01671508,44,51780
0050,D01671511,156,48300
0050,D01671514,7,52680
0050,D01671517,272,49200
0050,D01671520,263,53580
0050,D01671523,173,50100
0050,D01671526,98,54480
0050,D01671529,-7,51000
0050,D01671532,-20,55380
0050,D01671535,4,51900
0050,D01671538,227,56280
0050,D01671541,2,52800
0050,D0167155,-39,19860
0050,D01671550,67,57180
0050,D01671553,89,53700
0050,D01671556,125,58080
0050,D01671559,100,54600
0050,D01671568,205,58980
0050,D01671571,281,55500
0050,D01671580,93,59880
0050,D01671583,304,56400
0050,D01671586,136,60780
0050,D01671589,-3,57300
0050,D01671598,84,61680
0050,D01671610,-11,62580
0050,D01671613,433,58200
0050,D01671616,425,63480
0050,D01671619,138,59100
0050,D01671625,321,60000
0050,D01671628,-17,64380
0050,D01671631,333,60900
0050,D0167164,128,23940
0050,D01671640,44,65280
0050,D01671643,160,61800
0050,D01671652,-5,66180
0050,D01671655,164,62700
0050,D01671658,26,67140
